id,filename,category,title,alt_text,description,recommended_placement,source_site,source_url,filesize_bytes
1,watches/watch_01_black_leather_dial.jpg,watches,Black leather strap watch,Black leather strap watch,Moody close-up of a black luxury watch with a brown leather strap; ideal for a premium product card or hero section.,"product-card, hero",Pexels,https://images.pexels.com/photos/3829441/pexels-photo-3829441.jpeg?cs=srgb&dl=pexels-castorlystock-3829441.jpg&fm=jpg,999423
2,watches/watch_02_steel_chronograph.jpg,watches,Steel chronograph on wood,Steel chronograph on wood,Polished stainless steel chronograph styled on a wooden surface; works well for product listings and feature highlights.,"product-card, feature-block",Pexels,https://images.pexels.com/photos/190819/pexels-photo-190819.jpeg?cs=srgb&dl=pexels-ferarcosn-190819.jpg&fm=jpg,505108
3,watches/watch_03_blue_diver_watch.jpg,watches,Blue diver-style watch,Blue diver-style watch,Clean studio shot of a blue dial diver-style watch; great for a high-end product window or comparison grid.,"product-card, collection-grid",Pexels,https://images.pexels.com/photos/364822/rolex-watch-time-luxury-364822.jpeg?cs=srgb&dl=pexels-pixabay-364822.jpg&fm=jpg,848964
4,watches/watch_04_watch_case_selection.jpg,watches,Luxury watches in presentation case,Luxury watches in presentation case,Lifestyle image of a curated watch case with a hand selecting a timepiece; best for banners and collection promos.,"hero, promo-banner",Pexels,https://images.pexels.com/photos/380782/pexels-photo-380782.jpeg?cs=srgb&dl=pexels-bemistermister-380782.jpg&fm=jpg,399042
5,watches/watch_05_macro_luxury_dial.jpg,watches,Macro luxury watch face,Macro luxury watch face,Detailed macro of a premium watch dial with cinematic blur; useful for feature sections about craftsmanship and detail.,"feature-block, craftsmanship-section",Pexels,https://images.pexels.com/photos/1137061/pexels-photo-1137061.jpeg?cs=srgb&dl=pexels-el-evangelista-171946-1137061.jpg&fm=jpg,181148
6,watches/watch_07_skeleton_mechanical.jpg,watches,Skeleton mechanical watch,Skeleton mechanical watch,Front-facing skeleton mechanical watch on a dark background; fits premium product pages and watch enthusiast sections.,"product-card, detail-page",Pexels,https://images.pexels.com/photos/277319/pexels-photo-277319.jpeg?cs=srgb&dl=pexels-pixabay-277319.jpg&fm=jpg,373499
7,watches/watch_09_steel_chrono_studio.jpg,watches,Steel chronograph studio shot,Steel chronograph studio shot,"Bright, crisp studio photo of a stainless steel chronograph; well suited for a clean ecommerce listing.","product-card, catalog-grid",Pexels,https://images.pexels.com/photos/280250/pexels-photo-280250.jpeg?cs=srgb&dl=pexels-pixabay-280250.jpg&fm=jpg,259440
8,watches/watch_10_blue_sapphire_mesh.jpg,watches,Blue sapphire mesh watch,Blue sapphire mesh watch,Minimalist blue dial watch with mesh strap against a dark backdrop; perfect for a modern luxury collection block.,"feature-block, product-card",Pexels,https://images.pexels.com/photos/3766111/pexels-photo-3766111.jpeg?cs=srgb&dl=pexels-alexazabache-3766111.jpg&fm=jpg,2329244
9,jewelry/jewelry_01_teardrop_diamond_ring.jpg,jewelry,Teardrop diamond ring,Teardrop diamond ring,Statement teardrop diamond ring on a dark textured background; ideal for a hero product tile or featured ring section.,"hero, product-card",Pexels,https://images.pexels.com/photos/2735981/pexels-photo-2735981.jpeg?cs=srgb&dl=pexels-say-straight-1400349-2735981.jpg&fm=jpg,936054
10,jewelry/jewelry_02_gold_earrings_reflection.jpg,jewelry,Gold earrings on black reflection,Gold earrings on black reflection,Reflective gold earrings on a glossy black surface; works well for elegant product windows and category headers.,"product-card, category-header",Pexels,https://images.pexels.com/photos/3266700/pexels-photo-3266700.jpeg?cs=srgb&dl=pexels-dima-valkov-1186343-3266700.jpg&fm=jpg,372374
